year,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
Finland,,0.1296,,0.1325,,0.154,,0.1549,,0.1578,,0.1563,,0.1552,,0.1541,,0.1581,,0.1612,,0.1734
Sweden,,0.1602,,0.1839,,0.2092,,0.2027,,0.2101,,0.1967,,0.1851,,0.1894,,0.1936,,0.1891,,0.2015
United Kingdom,,0.1466,,0.1386,,0.1433,,0.1682,,0.1741,,0.1918,,0.2125,,0.1951,,0.1766,,0.1887,,0.2122
Iceland,,,,,,,,0.111,,0.1053,,0.1133,,0.1197,,0.1312,,0.1598,,0.1545,,0.1406
Liechtenstein,,,,,,,,,,,,0.1531,,0.1841,,0.1728,,0.1724,,,,
Norway,,0.1565,,0.2027,,0.2133,,0.1881,,0.1909,,0.1653,,0.1614,,0.1515,,0.1642,,0.1751,,0.1867
Switzerland,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,0.087,,0.091,,0.0956,,0.0985,,0.0982,,0.0956,,0.0983,,0.1024,,0.1032
North Macedonia,,,,,,,,,,0.081,,0.0785,,0.0826,,0.0822,,0.082,,0.0781,,0.0783
Albania,,,,,,0.1152,,0.1163,,0.1156,,0.1156,,0.0812,,0.0824,,0.0844,,,,
Serbia,,,,,,,,,,0.0564,,0.0607,,0.0575,,0.0641,,0.0664,,0.0705,,0.0706
Turkey,,0.1144,,0.1342,,0.1218,,0.131,,0.1495,,0.1192,,0.136,,0.1267,,0.1048,,0.0904,,0.0847
Bosnia and Herzegovina,,,,0.0741,,0.0745,,0.0798,,0.0803,,0.0791,,0.0812,,0.0831,,0.0859,,0.0864,,0.0873
Kosovo (under United Nations Security Council Resolution 1244/99),,,,,,,,,,0.0564,,0.0552,,0.0625,,0.059,,0.0662,,0.0633,,0.06
Moldova,,,,,,,,,,,,,,0.0819,,0.0962,,0.0977,,0.102,,0.0936
Ukraine,,,,,,,,,,,,,,,,0.0249,(p),0.0393,,0.041,,0.0442
Georgia,,,,,,,,,,,,,,,,,,,,0.0685,,0.0809
:=not available p=provisional e=estimated ,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,,,,,,,,,,,,,,,,,,,,,,
Last update:,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,,,,,,,,,,,,,,,,,,,,,,
Short Description:,,,,,,,,,,,,,,,,,,,,,,
Code:,,,,,,,,,,,,,,,,,,,,,,
